Word	Pknown
abnormality	0.9975
abnormally	0.9924
abnormity	0.7124
aboard	0.9949
abode	0.9774
abolish	0.9924
abolishable	0.8460
abolisher	0.9416
abolishment	0.9701
abolition	0.9821
abolitionary	0.8547
abolitionism	0.9026
abolitionist	0.9587
abominable	0.9933
abominableness	0.7724
abominably	0.9606
abominate	0.8932
abomination	0.9857
abominator	0.7297
aboriginal	0.9529
aboriginality	0.7153
aboriginals	0.9299
aborigine	0.8711
abort	0.9955
aborted	0.9973
abortion	0.9974
abortionist	0.9551
abortive	0.9181
abortively	0.7887
abortiveness	0.6905
abound	0.9792
abounding	0.9461
about	1.0000
above	0.9977
aboveboard	0.7437
aboveground	0.8503
abovementioned	0.7344
abracadabra	0.9570
abrade	0.5525
abrader	0.3462
abrasion	0.9580
abrasive	0.9800
abrasively	0.9853
abrasiveness	0.9862
abreact	0.1406
abreaction	0.1994
abreast	0.9501
abridge	0.9510
abridged	0.9744
abridgement	0.9265
abridger	0.6223
abridgment	0.8863
abroad	0.9950
abrogable	0.2468
abrogate	0.6137
abrogation	0.5784
abrogative	0.4885
abrupt	0.9953
abruption	0.7402
abruptly	0.9925
abruptness	0.9976
abscess	0.9437
abscessed	0.8704
abscise	0.3123
abscissa	0.2409
abscission	0.3407
abscond	0.8740
absconded	0.9119
absconder	0.8467
abseil	0.3645
absence	0.9928
absent	0.9900
absentee	0.9887
absenteeism	0.9012
absenter	0.5323
absently	0.9711
absentminded	0.9452
absentmindedly	0.9739
absentmindedness	0.9775
absentness	0.7814
absinthe	0.9062
absinthian	0.5490
absolute	0.9930
absolutely	0.9952
absoluteness	0.8961
absolution	0.9828
absolutism	0.9388
absolutist	0.9461
absolutistic	0.4286
absolutory	0.5088
absolvable	0.8700
absolve	0.9831
absolvent	0.8494
absolver	0.9091
absorb	1.0000
absorbability	0.9051
absorbable	0.9381
absorbance	0.9392
absorbed	0.9907
absorbedly	0.7714
absorbedness	0.7160
absorbency	0.9763
absorbent	0.9950
absorber	0.9400
absorbing	0.9974
absorbingly	0.9098
absorption	0.9812
absorptive	0.7128
absorptiveness	0.6364
absorptivity	0.6400
abstain	0.9746
abstainer	0.9262
abstemious	0.5209
abstemiously	0.5014
abstemiousness	0.4298
abstention	0.8623
abstentious	0.7822
abstergent	0.2630
abstinence	0.9834
abstinent	0.9443
abstinently	0.7962
abstract	1.0000
abstracted	0.9738
abstractedly	0.8699
abstractedness	0.8337
abstracter	0.7763
abstraction	0.9784
abstractionism	0.8337
abstractionist	0.8946
abstractive	0.7618
abstractly	0.9817
abstractness	0.9192
abstractor	0.8535
abstruse	0.4975
abstrusely	0.5356
abstruseness	0.5670
absurd	0.9952
absurdist	0.8645
absurdity	0.9926
absurdly	0.9810
absurdness	0.9387
abundance	0.9947
abundant	0.9905
abundantly	0.9869
abuse	0.9978
abuser	0.9868
abusive	0.9929
abusively	0.9772
abusiveness	0.9580
abut	0.5255
abutilon	0.1235
abutment	0.6126
abuttal	0.6095
abutter	0.2861
abutting	0.7130
abuzz	0.7972
abysm	0.4569
abysmal	0.9568
abysmally	0.9062
abyss	0.9925
abyssal	0.7020
acacia	0.7475
academe	0.5553
academia	0.9746
academic	0.9949
academically	0.9952
academicals	0.4772
academician	0.6547
academicians	0.7059
academicism	0.6373
academics	1.0000
academism	0.6403
academy	0.9976
acajou	0.0685
acanthine	0.2304
acanthocephalan	0.2324
acanthodian	0.1487
acanthus	0.3671
acatalectic	0.1612
accede	0.7240
accelerando	0.3341
accelerant	0.9637
accelerate	1.0000
accelerated	0.9944
acceleration	0.9899
accelerative	0.8177
accelerator	1.0000
acceleratory	0.8428
accelerometer	0.8375
accent	0.9873
accentor	0.5770
accentual	0.7603
accentually	0.6914
accentuate	0.9624
accentuation	0.9114
accept	0.9946
acceptability	0.9882
acceptable	0.9952
acceptableness	0.8192
acceptably	0.9714
acceptance	0.9877
acceptant	0.8356
acceptation	0.5441
accepted	1.0000
accepter	0.7687
acceptor	0.8029
access	0.9976
accessary	0.7299
accessibility	0.9922
accessible	0.9976
accessibly	0.9390
accession	0.8864
accessional	0.5396
accessorial	0.6824
accessorily	0.4685
accessorize	0.9898
accessory	0.9920
accidence	0.4000
accident	0.9977
accidental	0.9948
accidentally	0.9903
accidentalness	0.5067
accidently	0.9599
accipiter	0.1726
acclaim	0.9805
acclaimer	0.8474
acclamation	0.9206
acclamatory	0.7023
acclimate	0.9259
acclimation	0.8564
acclimatization	0.8840
acclimatize	0.8227
acclivitous	0.1585
acclivity	0.3911
accolade	0.9457
accommodate	0.9921
accommodating	0.9923
accommodatingly	0.8680
accommodation	0.9976
accommodative	0.8619
accommodativeness	0.6795
accommodator	0.9200
accompanier	0.7240
accompaniment	0.9664
accompanist	0.9061
accompany	1.0000
accomplice	0.9897
accomplish	0.9903
accomplishable	0.9099
accomplished	0.9924
accomplisher	0.8832
accomplishment	0.9977
accord	0.9847
accordable	0.7249
accordance	0.9876
accordant	0.8743
accordantly	0.6183
accorder	0.5165
according	1.0000
accordingly	0.9948
accordion	0.9756
accordionist	0.8935
accost	0.9294
accosted	0.9464
accouchement	0.4356
account	0.9951
accountability	0.9901
accountable	1.0000
accountableness	0.6452
accountably	0.8884
accountancy	0.8639
accountant	0.9953
accountantship	0.6720
accounting	0.9947
accouter	0.2710
accouterment	0.5867
accoutrement	0.7744
accredit	0.9439
accreditation	0.9444
accredited	0.9877
accrete	0.5566
accretion	0.5935
accretive	0.4403
accrual	0.7397
accrue	0.9000
accruement	0.8448
acculturate	0.5841
acculturation	0.6121
accumulate	0.9948
accumulation	1.0000
accumulative	0.9926
accumulatively	0.9368
accumulativeness	0.7663
accumulator	0.9676
accuracy	0.9950
accurate	0.9950
accurately	0.9973
accurateness	0.8243
accurse	0.7072
accursed	0.9139
accursedly	0.8069
accursedness	0.7792
accusable	0.9604
accusation	0.9885
accusative	0.8810
accusatively	0.7935
accusatorial	0.8864
accusatorially	0.7583
accusatory	0.9525
accuse	0.9863
accused	0.9974
accuser	0.9784
accusingly	0.9804
accustom	0.9385
accustomed	0.9896
accustomedness	0.5793
ace	0.9922
acerb	0.3307
acerbate	0.7282
acerbic	0.7597
acerbity	0.5789
acetabulum	0.3209
acetaldehyde	0.5441
acetaminophen	0.7506
acetanilide	0.1892
acetate	0.9143
acetated	0.5721
acetazolamide	0.3931
acetic	0.7129
acetifier	0.3282
acetify	0.4273
acetone	0.9438
acetonitrile	0.2213
acetous	0.3238
acetum	0.3073
acetyl	0.7574
acetylation	0.5093
acetylcholine	0.6324
acetylene	0.8229
acetylsalicylate	0.6099
acetylsalicylic	0.6644
ach	0.3632
achalasia	0.2194
ache	0.9898
achievable	0.9889
achieve	0.9921
achievement	0.9976
achiever	0.9911
achiness	0.8897
aching	0.9847
achingly	0.9270
achromatic	0.7257
achromatically	0.6728
achromatize	0.5415
achromous	0.3725
achy	0.9327
acicular	0.2109
aciculate	0.1298
acid	0.9951
acidic	0.9949
acidification	0.8581
acidifier	0.8115
acidify	0.9180
acidimetric	0.3325
acidimetrically	0.2255
acidity	0.9907
acidize	0.7182
acidly	0.8305
acidometer	0.6430
acidophilic	0.6893
acidophilus	0.6196
acidosis	0.6797
acidulate	0.3401
acidulous	0.4022
aciform	0.2182
acknowledge	1.0000
acknowledgeable	0.9403
acknowledged	0.9900
acknowledgement	0.9900
acknowledger	0.8665
acme	0.8561
acne	0.9896
acolyte	0.8312
aconite	0.3910
aconitum	0.1340
acorn	0.9766
acoustic	0.9903
acoustical	0.8686
acoustically	0.9859
acoustician	0.7434
acoustics	0.9944
acquaint	0.9780
acquaintance	0.9931
acquaintanceship	0.8162
acquainted	0.9948
acquiesce	0.8506
acquiescence	0.8842
acquiescent	0.8977
acquiescently	0.8145
acquiescingly	0.7066
acquirable	0.9731
acquire	0.9901
acquired	0.9944
acquirement	0.8503
acquirer	0.9504
acquisition	0.9851
acquisitive	0.8676
acquisitively	0.8114
acquisitiveness	0.8010
acquit	0.9192
acquittal	0.9534
acquitter	0.8479
acre	0.9925
acreage	0.8305
acrid	0.8869
acridity	0.7299
acridly	0.7696
acridness	0.7946
acrimonious	0.8628
acrimoniously	0.8762
acrimoniousness	0.7534
acrimony	0.8385
acrobat	0.9930
acrobatic	0.9951
acrobatically	0.9793
acrobatics	0.9904
acrogenic	0.3703
acrogenous	0.2912
acrolith	0.2414
acrolithic	0.3422
acromegaly	0.1942
acromion	0.2099
acronym	0.9830
acronymic	0.7236
acrophobia	0.8692
acropolis	0.8859
acrosome	0.1737
across	0.9950
acrostic	0.6995
acrostically	0.5966
acryl	0.4450
acrylamide	0.4737
acrylate	0.4679
acrylic	0.9901
acrylonitrile	0.2244
act	1.0000
actability	0.5523
actable	0.6486
actin	0.3195
acting	0.9886
actinia	0.1995
actinic	0.2292
actinically	0.1486
actinium	0.4106
actinography	0.2655
action	0.9971
actionable	0.9181
actionably	0.7336
activate	0.9953
activation	0.9975
activator	0.9869
active	1.0000
actively	0.9887
activeness	0.9386
activism	0.9952
activist	0.9974
activity	0.9929
actor	0.9974
actress	0.9930
acts	0.9922
actual	0.9954
actuality	0.9869
actualization	0.9823
actualize	0.9691
actually	0.9955
actuarial	0.7105
actuarially	0.5813
actuary	0.8824
actuate	0.8978
actuation	0.8364
actuator	0.8118
acuity	0.8355
aculeate	0.1910
acumen	0.8089
acuminate	0.3370
acumination	0.3042
acuminous	0.3419
acupressure	0.8525
acupuncture	0.9902
acupuncturist	0.9680
acute	0.9950
acutely	0.9902
acuteness	0.9774
acyclic	0.6158
acyclovir	0.2277
acyl	0.1918
acylation	0.2442
ad	0.9641
adage	0.8881
adagio	0.7184
adamancy	0.6483
adamant	0.9602
adamantine	0.6053
adamantly	0.9516
adapt	1.0000
adaptability	0.9930
adaptable	0.9976
adaptation	0.9976
adapter	0.9925
adaption	0.9362
adaptive	0.9878
adaptively	0.9519
adaptor	0.9889
add	1.0000
addable	0.6280
addax	0.0975
added	0.9910
addend	0.6642
addenda	0.6145
addendum	0.9242
adder	0.8623
addible	0.3352
addict	1.0000
addicted	1.0000
addictedness	0.7762
addiction	0.9974
addictive	0.9949
addictiveness	0.9689
addition	0.9947
additional	1.0000
additionally	0.9976
additive	0.9920
additively	0.7578
additivity	0.6396
addle	0.7356
addlebrained	0.7579
addled	0.7995
address	0.9950
addressable	0.9019
addressbook	0.7808
addressee	0.9379
addresser	0.8943
addressograph	0.1790
addressor	0.8412
adduce	0.3580
adducible	0.3190
adduct	0.5404
adduction	0.6078
adductive	0.5186
adductor	0.5585
adenine	0.5205
adenitis	0.2734
adenocarcinoma	0.5570
adenoid	0.7735
adenoidal	0.6569
adenoids	0.8037
adenoma	0.4538
adenomatous	0.2500
adenosine	0.4812
adenoviral	0.4485
adenovirus	0.4904
adenylyl	0.1731
adept	0.9562
adeptly	0.9454
adeptness	0.9221
adequacy	0.9832
adequate	0.9910
adequately	0.9924
adequateness	0.8276
adhere	0.9897
adherence	0.9679
adherent	0.9779
adherently	0.8889
adherer	0.8362
adhesion	0.9653
adhesive	0.9976
adhesively	0.9287
adhesiveness	0.9658
adiabatic	0.2062
adiabatically	0.2247
adiaphorous	0.2857
adieu	0.9095
adieux	0.6102
adipocerous	0.2336
adipose	0.6272
adiposity	0.4574
adjacency	0.8546
adjacent	0.9973
adjacently	0.9116
adjectival	0.6226
adjectivally	0.6469
adjective	1.0000
adjectively	0.8341
adjoin	0.9288
adjoined	0.9536
adjoining	0.9808
adjourn	0.9543
adjournment	0.9533
adjudge	0.5383
adjudicate	0.9397
adjudication	0.9231
adjudicative	0.8144
adjudicator	0.9234
adjunct	0.9197
adjunction	0.8385
adjunctive	0.8557
adjunctively	0.8416
adjuration	0.6280
adjuratory	0.4474
adjure	0.7471
adjurer	0.5835
adjust	0.9897
adjustability	0.9823
adjustable	1.0000
adjustably	0.8282
adjuster	0.9663
adjustment	0.9954
adjustor	0.9339
adjutancy	0.4462
adjutant	0.5892
adjuvant	0.5275
adman	0.4711
admeasure	0.3333
admin	0.9192
administer	0.9854
administrable	0.8579
administrant	0.7087
administrate	0.9672
administration	0.9977
administrational	0.8289
administrative	0.9954
administratively	0.9726
administrator	0.9871
admirable	1.0000
admirableness	0.6573
admirably	0.9948
admiral	1.0000
admiralship	0.8015
admiralty	0.8415
admiration	0.9976
admire	0.9954
admired	1.0000
admirer	0.9947
admiring	0.9838
admiringly	0.9737
admissibility	0.9164
admissible	0.9740
admissibleness	0.6010
admissibly	0.9150
admission	0.9976
admissive	0.9328
admit	0.9948
admittance	0.9925
admitted	0.9924
admittedly	0.9865
admitter	0.8608
admix	0.2474
admixture	0.4382
admonish	0.9050
admonisher	0.8786
admonishingly	0.8571
admonishment	0.9125
admonition	0.8953
admonitory	0.5695
adnexa	0.0813
adnexal	0.1145
adnominal	0.4656
adnoun	0.2222
ado	0.8360
adobe	0.9735
adolescence	0.9882
adolescent	0.9832
adolescently	0.8093
adopt	0.9973
adoptability	0.9389
adoptable	0.9901
adopted	1.0000
adoptee	0.9720
adopter	0.9474
adoption	1.0000
adoptive	0.9950
adoptively	0.8561
adorability	0.8489
adorable	0.9916
adorableness	0.8869
adorably	0.9845
adoration	0.9915
adore	0.9952
adorer	0.8883
adoring	0.9920
adoringly	0.9821
adorn	0.9625
adorner	0.8807
adornment	0.9754
adown	0.1432
adrenal	0.9113
adrenalin	0.9224
adrenaline	0.9924
adrenergic	0.2622
adrenocortical	0.5472
adrenocorticotropic	0.3793
adrift	0.9764
adroit	0.6845
adroitly	0.6713
adroitness	0.6998
adscript	0.4938
adscription	0.2457
adsorb	0.4733
adsorbent	0.5161
adsorption	0.5000
adsorptive	0.3359
adularia	0.1100
adulate	0.7580
adulation	0.8791
adulator	0.6841
adulatory	0.7474
adult	1.0000
adulterant	0.7066
adulterate	0.9238
adulteration	0.9504
adulterator	0.7315
adulterer	0.9787
adulteress	0.9679
adulterine	0.2696
adulterous	0.9929
adulterously	0.9283
adultery	0.9943
adulthood	0.9951
adultlike	0.8740
adultness	0.7375
adumbral	0.1678
adumbrate	0.1978
adumbration	0.1627
adumbrative	0.1422
adumbratively	0.1250
advance	0.9973
advanced	0.9952
advancement	0.9953
advancer	0.8811
advancing	0.9925
advantage	0.9973
advantageous	0.9806
advantageously	0.9580
advantageousness	0.8214
advection	0.2620
advent	0.9950
adventitia	0.1517
adventitious	0.4466
adventitiously	0.4615
adventitiousness	0.3373
adventure	0.9973
adventurer	0.9866
adventuresome	0.9194
adventuress	0.7889
adventurism	0.8557
adventurist	0.8971
adventurous	0.9976
adventurously	0.9583
adventurousness	0.8894
adverb	0.9976
adverbial	0.8149
adverbially	0.6165
adversarial	0.9494
adversary	0.9885
adversative	0.5795
adversatively	0.5045
adverse	0.9954
adversely	0.9856
adverseness	0.8627
adversity	0.9870
advert	0.9592
advertence	0.4419
advertency	0.5304
advertent	0.6759
advertently	0.8764
advertise	0.9940
advertisement	0.9948
advertiser	0.9904
advertising	0.9931
advertize	0.8393
advertorial	0.5367
advice	1.0000
advisability	0.9593
advisable	0.9928
advisableness	0.5185
advisably	0.9283
advise	0.9928
advised	0.9931
advisedly	0.8711
advisedness	0.5450
advisee	0.8210
advisement	0.9036
adviser	0.9644
advisor	0.9950
advisory	0.9974
advocacy	0.9930
advocate	0.9975
advocator	0.9245
advocatory	0.7786
adyta	0.0188
adytum	0.0868
adz	0.2105
adze	0.3303
adzuki	0.1869
aecidium	0.1532
aegis	0.6557
aeon	0.7229
aerate	0.8450
aeration	0.8545
aerator	0.8277
aerial	0.9877
aerialist	0.8791
aerially	0.8905
aerie	0.7278
aero	0.9318
aerobatic	0.9251
aerobatics	0.9246
aerobe	0.5553
aerobic	0.9877
aerobically	0.9243
aerobics	0.9881
aerobiological	0.7553
aerobiology	0.7475
aerodonetics	0.2494
aerodrome	0.7644
aerodynamic	0.9821
aerodynamicist	0.8134
aerodynamics	0.9790
aerodyne	0.5782
aeroembolism	0.4850
aerofoil	0.6667
aerogram	0.6500
aerogramme	0.4375
aerograph	0.7124
aerographer	0.6984
aerographic	0.7749
aerologic	0.5548
aerologist	0.7019
aeromechanical	0.8659
aeromechanics	0.9167
aerometer	0.8043
aerometric	0.6765
aerometry	0.4408
aeronaut	0.8519
aeronautic	0.9569
aeronautical	0.9604
aeronautically	0.9367
aeronautics	0.9668
aeroneurosis	0.4695
aerophobia	0.8271
aerosol	0.9867
aerospace	0.9763
aerosphere	0.8342
aerostat	0.6256
aerostatic	0.8144
aerostatics	0.7425
aerostation	0.7035
aerotherapeutics	0.6504
aertex	0.2301
aesthete	0.6131
aesthetic	0.9881
aesthetical	0.8672
aesthetically	0.9821
aesthetician	0.8744
aestheticism	0.9171
aesthetics	0.9854
afar	0.9535
afeard	0.3837
affability	0.8781
affable	0.9133
affableness	0.7121
affably	0.8522
affair	0.9976
affaire	0.5042
affect	0.9929
affectation	0.8869
affected	0.9976
affectedly	0.8319
affectedness	0.8086
affecter	0.6040
affecting	0.9922
affectingly	0.7972
affection	0.9975
affectionate	0.9930
affectionately	1.0000
affectionateness	0.5461
affective	0.9478
affectively	0.8822
affectivity	0.7954
affectless	0.7902
afferent	0.3419
affiance	0.5949
affiant	0.4478
affidavit	0.9075
affiliate	0.9900
affiliation	0.9952
affine	0.3415
affined	0.3666
affinitive	0.9100
affinity	0.9803
affirm	0.9794
affirmable	0.9531
affirmance	0.6304
affirmation	0.9877
affirmative	0.9949
affirmatively	0.9811
affirmer	0.8655
affix	0.9398
affixation	0.8816
affixer	0.7587
affixture	0.6641
afflation	0.3841
afflatus	0.1444
afflict	0.9749
afflicted	0.9973
afflicter	0.7016
afflicting	0.9905
affliction	0.9951
afflictive	0.8141
afflictively	0.5148
affluence	0.9951
affluent	0.9926
affluently	0.9880
afflux	0.6439
afford	0.9973
affordability	0.9877
affordable	0.9973
afforest	0.2362
afforestation	0.3576
affranchise	0.4026
affray	0.6289
affricate	0.2564
affricated	0.2194
affrication	0.2123
affricative	0.3097
affright	0.4453
affrighted	0.4905
affrightedly	0.3319
affront	0.9475
affronted	0.9476
affronter	0.6328
affronting	0.8543
affrontingly	0.6595
afghan	0.9722
aficionado	0.8472
afield	0.7812
afire	0.7971
aflame	0.9310
afloat	0.9975
aflutter	0.8056
afoot	0.9612
afore	0.8106
aforehand	0.7512
aforementioned	0.9729
aforesaid	0.7539
aforethought	0.7793
aforetime	0.6307
aforetimes	0.6674
afoul	0.7734
afraid	0.9951
afresh	0.8351
afro	0.9636
aft	0.8579
after	0.9948
afterbirth	0.9899
afterburner	0.8758
afterburning	0.8500
aftercare	0.9607
afterdamp	0.2786
afterdeck	0.5823
aftereffect	0.8516
aftergame	0.7749
afterglow	0.9810
afterguard	0.6807
afterhours	0.9192
afterimage	0.6675
afterlife	0.9903
afterload	0.7403
aftermarket	0.8709
aftermath	0.9922
aftermost	0.7132
afternoon	0.9978
afternoons	0.9948
afterparty	0.9309
afterpiece	0.6786
aftersale	0.8184
afterschool	0.9130
aftershave	0.9924
aftershock	0.9976
aftertaste	0.9823
afterthought	0.9748
aftertime	0.7506
aftertimes	0.6873
afterward	0.9924
afterwards	0.9901
afterword	0.9167
afterworld	0.8955
again	0.9974
against	0.9950
agama	0.1468
agamid	0.0945
agapanthus	0.3186
agape	0.9255
agar	0.6459
agarose	0.2036
agate	0.8816
agateware	0.2344
agave	0.8175
age	0.9976
aged	1.0000
agedly	0.7040
agedness	0.7103
ageism	0.8965
ageist	0.8642
ageless	0.9973
agelessness	0.9318
agency	0.9956
agenda	0.9873
agendum	0.5500
agenesis	0.4268
agent	0.9975
agential	0.3113
agentive	0.3119
ager	0.5175
ageratum	0.1387
aggie	0.4420
aggiornamento	0.1035
agglomerate	0.5224
agglomerated	0.5534
agglomeration	0.5701
agglomerative	0.4221
agglutinant	0.2558
agglutinate	0.3620
agglutination	0.3775
agglutinative	0.2530
agglutinin	0.1544
aggradation	0.4444
aggrandize	0.6618
aggrandizement	0.6097
aggrandizer	0.5899
aggravate	0.9833
aggravated	0.9887
aggravating	0.9848
aggravatingly	0.8914
aggravation	0.9824
aggravator	0.9704
aggregate	0.9812
aggregately	0.7866
aggregation	0.9707
aggregative	0.7885
aggregator	0.9173
aggress	0.6684
aggression	0.9903
aggressive	0.9977
aggressively	0.9929
aggressiveness	0.9880
aggressor	0.9899
aggrieve	0.8602
aggrieved	0.9163
aggrievedly	0.7068
aghast	0.9423
agile	0.9901
agilely	0.7728
agility	0.9922
aging	0.9761
agitate	0.9774
agitated	0.9925
agitatedly	0.8850
agitation	0.9905
agitator	0.9705
agitprop	0.2657
agleam	0.3947
aglet	0.3818
agley	0.1226
aglitter	0.5206
aglow	0.8824
agnail	0.1151
agnate	0.4129
agnatic	0.2203
agnation	0.2582
agnomen	0.2793
agnosia	0.4175
agnostic	0.9829
agnostically	0.9364
agnosticism	0.9325
ago	0.9871
agog	0.7308
agonic	0.3209
agonist	0.7106
agonistic	0.8042
agonistically	0.7562
agonistics	0.6853
agonize	0.9884
agonizing	0.9926
agonizingly	0.9865
agony	0.9903
agora	0.6435
agoraphobia	0.9398
agoraphobic	0.9153
agouti	0.1847
agrarian	0.7656
agrarianism	0.6085
agree	1.0000
agreeability	0.9189
agreeable	1.0000
agreeableness	0.8831
agreeably	0.9886
agreed	0.9951
agreeing	0.9975
agreement	1.0000
agribusiness	0.7200
agricultural	0.9886
agriculturalist	0.9888
agriculturally	0.9812
agriculture	0.9974
agriculturist	0.9564
agrobacterium	0.5519
agrobiologist	0.7912
agrochemical	0.7442
agrological	0.4580
agrology	0.3362
agronomic	0.7196
agronomical	0.6543
agronomics	0.7711
agronomist	0.6944
agronomy	0.6354
aground	0.8654
ague	0.5404
aguish	0.3509
ah	0.9385
aha	0.7854
ahead	1.0000
ahem	0.9074
ahimsa	0.0977
ahistoric	0.5161
ahistorical	0.6181
ahold	0.7688
ahoy	0.9739
aid	0.9928
aide	0.9687
aider	0.5976
aides	0.9235
aidless	0.8015
aids	0.9954
aigrette	0.1304
aiguillette	0.2159
aikido	0.5897
ail	0.8108
ailanthus	0.1216
aileron	0.3593
ailing	0.9583
ailment	0.9858
aim	0.9930
aimer	0.6327
aiming	0.9976
aimless	0.9897
aimlessly	0.9949
aimlessness	0.9753
air	1.0000
airbag	0.9976
airbase	0.9657
airbed	0.9187
airboat	0.8880
airborne	0.9973
airbrush	0.9925
aircraft	0.9976
aircraftman	0.8467
aircraftsman	0.8710
aircrew	0.9368
airdrome	0.4906
airdrop	0.8471
airfare	0.9713
airfield	0.9842
airflow	1.0000
airfoil	0.6573
airforce	0.9518
airframe	0.7535
airfreight	0.9100
airhead	0.9924
airily	0.8350
airiness	0.9040
airing	0.9714
airless	0.9648
airlift	0.9875
airline	0.9974
airliner	0.9832
airlock	0.9833
airmail	0.9716
airman	0.9590
airmanship	0.8312
airmobile	0.6776
airpark	0.6538
airplane	0.9975
airplay	0.9341
airport	0.9955
airpower	0.9061
airproof	0.8564
airscrew	0.4665
airshaft	0.9286
airship	0.9699
airshow	0.9654
airsick	0.9066
airsickness	0.9292
airspace	0.9855
airspeed	0.9672
airstream	0.9747
airstrike	0.9796
airstrip	0.9879
airtight	0.9755
airtime	0.9904
airwards	0.5941
airwave	0.9902
airway	1.0000
airwoman	0.7178
airworthiness	0.7135
airworthy	0.8756
airy	0.9647
aisle	0.9857
aisled	0.6553
aitch	0.2126
aitchbone	0.0907
ajar	0.9637
aka	0.6423
akimbo	0.7241
akin	0.9395
al	0.4062
ala	0.3701
alabaster	0.9229
alack	0.5259
alackaday	0.2729
alacritous	0.4479
alacrity	0.7506
alameda	0.3872
alanine	0.3725
alar	0.1894
alarm	1.0000
alarmclock	0.7731
alarmed	0.9975
alarming	1.0000
alarmingly	0.9857
alarmism	0.8157
alarmist	0.9710
alarum	0.2410
alary	0.1139
alas	0.9710
alb	0.2190
alba	0.5369
albacore	0.7286
albatross	0.9577
albedo	0.2697
albeit	0.9136
albescence	0.2029
albinism	0.8076
albino	0.9924
album	0.9974
albumen	0.6594
albumenize	0.3220
albumin	0.6113
albuminoidal	0.2846
albuminuria	0.2424
albuterol	0.5874
alcazar	0.4675
alchemic	0.8597
alchemical	0.6855
alchemically	0.8010
alchemist	0.9787
alchemistic	0.8981
alchemistical	0.5260
alchemize	0.7952
alchemy	0.9724
alcohol	0.9976
alcoholic	0.9900
alcoholically	0.6457
alcoholism	0.9974
alcoholmeter	0.4936
alcoholometry	0.3492
alcove	0.9409
aldehyde	0.4934
alder	0.7593
alderman	0.7330
aldermanic	0.2342
aldermanity	0.1253
aldermanship	0.6156
alderwoman	0.6446
aldosterone	0.2609
ale	0.9829
aleck	0.3014
alee	0.2997
alehouse	0.8668
alembic	0.2899
aleph	0.3634
alephs	0.3120
alert	0.9950
alertly	0.8811
alertness	0.9930
alewife	0.3661
alexandrine	0.4142
alexandrite	0.5537
alexia	0.4005
alexic	0.1894
alexipharmic	0.1040
alfalfa	0.9040
alfresco	0.9032
alga	0.4128
algae	0.9828
algaecide	0.6231
algal	0.3216
algarroba	0.0528
algebra	0.9894
algebraic	0.9680
algebraically	0.9254
algebraist	0.6516
algid	0.1396
algidity	0.1483
alginate	0.4161
algoid	0.2020
algolagnic	0.0818
algological	0.3243
algologist	0.2925
algometry	0.3261
algorism	0.5000
algorithm	0.9305
algorithmic	0.9478
alias	0.9872
alibi	0.9662
alidade	0.1055
alien	0.9899
alienability	0.7203
alienable	0.8283
alienate	0.9877
alienation	0.9792
alienator	0.8900
alienist	0.7213
aliens	0.9975
alight	0.9176
align	0.9901
aligner	0.7558
alignment	0.9899
alike	0.9976
alikeness	0.7829
aliment	0.6418
alimental	0.5103
alimentary	0.6422
alimentation	0.6039
alimentative	0.4838
alimony	0.9508
aliped	0.1106
aliphatic	0.2493
aliquant	0.2573
aliquot	0.2424
